,1,2,3,4,5,6,7,8,9,10,11,12
A,11110,5453,10167,4396,4613,9056,9655,7898,4260,2590,8312,8321
B,38954020,38920176,52589928,47399276,49602648,50507872,54666352,44556300,6605,6502,7985,5714
C,55505480,42942632,55431164,53386404,55794296,52357772,52572104,49230320,8185,3813,4287,3830
D,32650686,39913448,47943204,52420512,57288544,52174804,55190788,48421652,8971,4032,9161,5315
E,41890420,35290800,43669996,38498928,55917092,51813732,52446540,47750816,11620,8035,7246,2751
F,42728724,35469232,43800132,42500892,56714940,53056232,55321860,49248652,8188,287,6599,6506
G,40412736,32076902,42972868,45305164,55160204,52568640,55196800,46737712,6949,5096,0,3733
H,34090700,32134376,37558824,38986708,50615392,47686912,52513036,39988632,5817,7887,7683,7882
